company_id,type,rule_id,text,confidence_pct
ADANIPORTS,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
ADANIPORTS,pro,P8,Consistent dividend payout backed by positive free cash flow,65
ADANIPORTS,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
ADANIPORTS,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,70
ADANIPOWER,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90
ADANIPOWER,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85
ADANIPOWER,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
ADANIPOWER,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
ADANIPOWER,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
ADANIPOWER,con,FALLBACK,Debt-to-equity of 0.80 in the latest year is the most notable available watch-point for this company,61
AMBUJACEM,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80
AMBUJACEM,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
AMBUJACEM,con,FALLBACK,Debt-to-equity of 0.02 in the latest year is the most notable available watch-point for this company,61
APOLLOHOSP,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85
APOLLOHOSP,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,85
APOLLOHOSP,pro,P8,Consistent dividend payout backed by positive free cash flow,65
APOLLOHOSP,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80
APOLLOHOSP,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
APOLLOHOSP,con,FALLBACK,Debt-to-equity of 0.77 in the latest year is the most notable available watch-point for this company,61
ASIANPAINT,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90
ASIANPAINT,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85
ASIANPAINT,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,85
ASIANPAINT,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80
ASIANPAINT,pro,P8,Consistent dividend payout backed by positive free cash flow,65
ASIANPAINT,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80
ASIANPAINT,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
ASIANPAINT,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
ASIANPAINT,con,C8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,75
ATGL,pro,FALLBACK,"Company remained profitable in the latest reported year, the best available signal given limited ratio history",61
ATGL,con,FALLBACK,Insufficient multi-year ratio history to assess risk trend; this itself is a data-coverage limitation worth flagging to an analyst,61
AXISBANK,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
AXISBANK,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,85
AXISBANK,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80
AXISBANK,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
AXISBANK,con,C1,Debt-to-equity ratio of 8.25 is elevated for a non-financial company and warrants monitoring,85
AXISBANK,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,70
AXISBANK,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
BAJAJ-AUTO,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90
BAJAJ-AUTO,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85
BAJAJ-AUTO,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80
BAJAJ-AUTO,pro,P8,Consistent dividend payout backed by positive free cash flow,65
BAJAJ-AUTO,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
BAJAJ-AUTO,con,C8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,75
BAJAJFINSV,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90
BAJAJFINSV,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
BAJAJFINSV,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
BAJAJFINSV,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,85
BAJAJFINSV,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80
BAJAJFINSV,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
BAJAJFINSV,con,C1,Debt-to-equity ratio of 4.79 is elevated for a non-financial company and warrants monitoring,85
BAJAJFINSV,con,C2,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,85
BAJAJFINSV,con,C8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,75
BAJAJFINSV,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,70
BAJAJHLDNG,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
BAJAJHLDNG,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
BAJAJHLDNG,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80
BAJAJHLDNG,pro,P8,Consistent dividend payout backed by positive free cash flow,65
BAJAJHLDNG,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80
BAJAJHLDNG,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
BAJAJHLDNG,con,FALLBACK,Debt-to-equity of 0.00 in the latest year is the most notable available watch-point for this company,61
BAJFINANCE,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
BAJFINANCE,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
BAJFINANCE,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,85
BAJFINANCE,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80
BAJFINANCE,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80
BAJFINANCE,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
BAJFINANCE,con,C1,Debt-to-equity ratio of 3.82 is elevated for a non-financial company and warrants monitoring,85
BAJFINANCE,con,C2,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,85
BAJFINANCE,con,C3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,75
BAJFINANCE,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,70
BANKBARODA,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
BANKBARODA,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
BANKBARODA,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,85
BANKBARODA,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80
BANKBARODA,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
BANKBARODA,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
BANKBARODA,con,C1,Debt-to-equity ratio of 12.14 is elevated for a non-financial company and warrants monitoring,85
BANKBARODA,con,C3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,75
BANKBARODA,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,70
BANKBARODA,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
BEL,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90
BEL,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80
BEL,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
BEL,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
BEL,con,FALLBACK,Debt-to-equity of 0.51 in the latest year is the most notable available watch-point for this company,61
BHARTIARTL,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
BHARTIARTL,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,85
BHARTIARTL,pro,P8,Consistent dividend payout backed by positive free cash flow,65
BHARTIARTL,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80
BHARTIARTL,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
BHARTIARTL,con,C1,Debt-to-equity ratio of 2.61 is elevated for a non-financial company and warrants monitoring,85
BHEL,con,C8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,75
BHEL,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,70
BHEL,con,C12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,70
BHEL,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
BHEL,pro,FALLBACK,Return on equity of 1.1% in the latest year is the best available signal of business quality for this company,61
BOSCHLTD,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85
BOSCHLTD,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80
BOSCHLTD,pro,P8,Consistent dividend payout backed by positive free cash flow,65
BOSCHLTD,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
BOSCHLTD,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
BOSCHLTD,con,FALLBACK,Debt-to-equity of 0.00 in the latest year is the most notable available watch-point for this company,61
BPCL,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,85
BPCL,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80
BPCL,pro,P8,Consistent dividend payout backed by positive free cash flow,65
BPCL,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80
BPCL,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
BPCL,con,FALLBACK,Debt-to-equity of 0.72 in the latest year is the most notable available watch-point for this company,61
BRITANNIA,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90
BRITANNIA,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80
BRITANNIA,pro,P8,Consistent dividend payout backed by positive free cash flow,65
BRITANNIA,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
BRITANNIA,con,FALLBACK,Debt-to-equity of 0.52 in the latest year is the most notable available watch-point for this company,61
CANBK,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
CANBK,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
CANBK,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,85
CANBK,pro,P8,Consistent dividend payout backed by positive free cash flow,65
CANBK,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80
CANBK,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
CANBK,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
CANBK,con,C1,Debt-to-equity ratio of 14.87 is elevated for a non-financial company and warrants monitoring,85
CANBK,con,C3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,75
CANBK,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,70
CANBK,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
CHOLAFIN,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
CHOLAFIN,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
CHOLAFIN,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,85
CHOLAFIN,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80
CHOLAFIN,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80
CHOLAFIN,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
CHOLAFIN,con,C1,Debt-to-equity ratio of 6.86 is elevated for a non-financial company and warrants monitoring,85
CHOLAFIN,con,C2,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,85
CHOLAFIN,con,C3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,75
CHOLAFIN,con,C8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,75
CHOLAFIN,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,70
CIPLA,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85
CIPLA,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
CIPLA,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,85
CIPLA,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80
CIPLA,pro,P8,Consistent dividend payout backed by positive free cash flow,65
CIPLA,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80
CIPLA,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
CIPLA,con,C3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,75
COALINDIA,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90
COALINDIA,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85
COALINDIA,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
COALINDIA,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80
COALINDIA,pro,P8,Consistent dividend payout backed by positive free cash flow,65
COALINDIA,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80
COALINDIA,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
COALINDIA,con,C3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,75
DABUR,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85
DABUR,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80
DABUR,pro,P8,Consistent dividend payout backed by positive free cash flow,65
DABUR,con,C8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,75
DIVISLAB,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
DIVISLAB,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80
DIVISLAB,pro,P8,Consistent dividend payout backed by positive free cash flow,65
DIVISLAB,con,C3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,75
DIVISLAB,con,C9,Earnings per share declining for 3 consecutive years reflects deteriorating profitability,75
DLF,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85
DLF,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
DLF,pro,P8,Consistent dividend payout backed by positive free cash flow,65
DLF,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
DLF,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
DLF,con,C12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,70
DLF,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
DMART,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
DMART,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,85
DMART,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80
DMART,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80
DMART,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
DMART,con,FALLBACK,Debt-to-equity of 0.03 in the latest year is the most notable available watch-point for this company,61
DRREDDY,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85
DRREDDY,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
DRREDDY,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,85
DRREDDY,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80
DRREDDY,pro,P8,Consistent dividend payout backed by positive free cash flow,65
DRREDDY,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80
DRREDDY,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
DRREDDY,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
DRREDDY,con,FALLBACK,Debt-to-equity of 0.07 in the latest year is the most notable available watch-point for this company,61
EICHERMOT,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85
EICHERMOT,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
EICHERMOT,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80
EICHERMOT,pro,P8,Consistent dividend payout backed by positive free cash flow,65
EICHERMOT,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
EICHERMOT,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
EICHERMOT,con,C8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,75
GAIL,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80
GAIL,pro,P8,Consistent dividend payout backed by positive free cash flow,65
GAIL,con,C8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,75
GODREJCP,con,C4,Company reported a net loss in the most recent financial year,95
GODREJCP,con,C9,Earnings per share declining for 3 consecutive years reflects deteriorating profitability,75
GODREJCP,pro,FALLBACK,Return on equity of -4.5% in the latest year is the best available signal of business quality for this company,61
GRASIM,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,85
GRASIM,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80
GRASIM,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
GRASIM,con,C8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,75
GRASIM,con,C9,Earnings per share declining for 3 consecutive years reflects deteriorating profitability,75
GRASIM,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,70
GRASIM,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
HAL,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90
HAL,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
HAL,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,85
HAL,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80
HAL,pro,P8,Consistent dividend payout backed by positive free cash flow,65
HAL,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80
HAL,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
HAL,con,C8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,75
HAVELLS,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80
HAVELLS,pro,P8,Consistent dividend payout backed by positive free cash flow,65
HAVELLS,con,FALLBACK,Debt-to-equity of 0.04 in the latest year is the most notable available watch-point for this company,61
HCLTECH,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90
HCLTECH,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85
HCLTECH,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80
HCLTECH,pro,P8,Consistent dividend payout backed by positive free cash flow,65
HCLTECH,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
HCLTECH,con,C3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,75
HDFCBANK,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
HDFCBANK,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
HDFCBANK,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,85
HDFCBANK,pro,P8,Consistent dividend payout backed by positive free cash flow,65
HDFCBANK,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80
HDFCBANK,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
HDFCBANK,con,C1,Debt-to-equity ratio of 6.81 is elevated for a non-financial company and warrants monitoring,85
HDFCBANK,con,C6,Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations,90
HDFCBANK,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,70
HDFCBANK,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
HDFCLIFE,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
HDFCLIFE,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
HDFCLIFE,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80
HDFCLIFE,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
HDFCLIFE,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
HEROMOTOCO,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85
HEROMOTOCO,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
HEROMOTOCO,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80
HEROMOTOCO,pro,P8,Consistent dividend payout backed by positive free cash flow,65
HEROMOTOCO,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
HEROMOTOCO,con,C3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,75
HEROMOTOCO,con,C12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,70
HINDALCO,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
HINDALCO,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80
HINDALCO,pro,P8,Consistent dividend payout backed by positive free cash flow,65
HINDALCO,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
HINDALCO,con,C9,Earnings per share declining for 3 consecutive years reflects deteriorating profitability,75
HINDUNILVR,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85
HINDUNILVR,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
HINDUNILVR,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80
HINDUNILVR,pro,P8,Consistent dividend payout backed by positive free cash flow,65
HINDUNILVR,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
HINDUNILVR,con,C8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,75
ICICIBANK,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
ICICIBANK,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
ICICIBANK,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,85
ICICIBANK,pro,P8,Consistent dividend payout backed by positive free cash flow,65
ICICIBANK,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80
ICICIBANK,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
ICICIBANK,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
ICICIBANK,con,C1,Debt-to-equity ratio of 6.45 is elevated for a non-financial company and warrants monitoring,85
ICICIBANK,con,C3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,75
ICICIBANK,con,C6,Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations,90
ICICIBANK,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,70
ICICIBANK,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
ICICIGI,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85
ICICIGI,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
ICICIGI,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80
ICICIGI,pro,P8,Consistent dividend payout backed by positive free cash flow,65
ICICIGI,con,C3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,75
ICICIPRULI,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
ICICIPRULI,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
ICICIPRULI,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80
ICICIPRULI,pro,P8,Consistent dividend payout backed by positive free cash flow,65
ICICIPRULI,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
INDIGO,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85
INDIGO,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
INDIGO,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
INDIGO,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,85
INDIGO,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80
INDIGO,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80
INDIGO,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
INDIGO,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
INDIGO,con,C3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,75
INDUSINDBK,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
INDUSINDBK,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
INDUSINDBK,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,85
INDUSINDBK,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80
INDUSINDBK,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
INDUSINDBK,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
INDUSINDBK,con,C1,Debt-to-equity ratio of 6.89 is elevated for a non-financial company and warrants monitoring,85
INDUSINDBK,con,C3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,75
